y_pred,y_true,race
0,1,Caucasian
0,0,African-American
1,1,Caucasian
1,1,African-American
1,1,African-American
0,0,Caucasian
0,0,Caucasian
0,1,African-American
0,0,African-American
1,1,African-American
0,0,Caucasian
0,0,African-American
1,1,African-American
1,1,Caucasian
1,1,African-American
0,0,African-American
1,0,Caucasian
1,1,African-American
0,0,African-American
1,1,African-American
0,1,African-American
1,0,African-American
0,1,Caucasian
0,0,Caucasian
0,0,African-American
0,0,African-American
1,0,African-American
0,0,African-American
0,1,African-American
1,1,Caucasian
1,1,Caucasian
1,1,African-American
1,1,African-American
1,1,African-American
1,0,African-American
0,1,Caucasian
1,1,Caucasian
0,0,Caucasian
0,0,Caucasian
1,1,African-American
0,0,Caucasian
0,0,Caucasian
0,0,African-American
1,0,African-American
1,0,Caucasian
1,1,African-American
1,0,Caucasian
0,0,African-American
0,0,African-American
1,0,Caucasian
1,0,Caucasian
1,1,African-American
0,0,African-American
1,0,African-American
1,0,Caucasian
1,1,African-American
0,0,African-American
1,0,Caucasian
1,0,African-American
0,0,Caucasian
1,1,Caucasian
0,0,African-American
0,1,African-American
1,1,African-American
1,1,African-American
0,0,African-American
1,1,African-American
1,1,African-American
1,0,Caucasian
0,1,Caucasian
0,1,African-American
0,1,Caucasian
0,1,Caucasian
1,1,African-American
1,0,African-American
0,0,Caucasian
1,1,African-American
0,0,Caucasian
1,0,African-American
0,0,Caucasian
1,1,African-American
0,0,Caucasian
1,0,African-American
0,0,African-American
0,0,Caucasian
1,1,African-American
0,0,African-American
0,0,African-American
0,0,Caucasian
0,1,Caucasian
0,1,African-American
1,0,Caucasian
0,0,African-American
1,0,Caucasian
0,0,Caucasian
0,1,African-American
0,1,Caucasian
0,1,African-American
1,0,African-American
1,1,African-American
1,1,African-American
0,0,Caucasian
1,0,African-American
0,0,African-American
0,1,Caucasian
0,0,African-American
1,1,African-American
0,1,African-American
0,0,Caucasian
1,1,Caucasian
0,1,Caucasian
1,1,Caucasian
0,1,African-American
1,1,African-American
1,0,African-American
1,1,Caucasian
1,1,Caucasian
0,1,Caucasian
0,0,African-American
0,0,Caucasian
0,1,Caucasian
0,0,African-American
0,0,African-American
1,1,African-American
1,0,African-American
1,0,Caucasian
1,0,Caucasian
0,0,African-American
1,1,Caucasian
1,1,African-American
0,0,Caucasian
1,0,Caucasian
1,1,African-American
1,0,African-American
0,1,Caucasian
0,1,African-American
1,0,African-American
1,0,African-American
0,0,Caucasian
0,1,African-American
1,0,African-American
0,0,African-American
1,1,African-American
1,1,African-American
1,1,African-American
1,0,African-American
0,1,African-American
1,0,African-American
0,0,African-American
0,0,African-American
1,1,African-American
0,1,Caucasian
1,1,African-American
0,0,Caucasian
0,0,African-American
1,1,Caucasian
0,0,African-American
1,1,African-American
0,0,Caucasian
0,0,Caucasian
0,1,African-American
0,1,African-American
0,0,Caucasian
1,1,African-American
1,1,African-American
1,0,African-American
0,1,Caucasian
1,0,Caucasian
1,0,African-American
1,1,African-American
1,1,African-American
0,0,African-American
1,1,African-American
0,0,Caucasian
0,0,Caucasian
1,1,African-American
1,1,African-American
1,1,African-American
0,0,Caucasian
0,0,Caucasian
1,1,African-American
0,1,Caucasian
0,0,African-American
0,1,African-American
1,1,African-American
0,1,African-American
0,0,African-American
0,1,African-American
1,0,Caucasian
1,1,Caucasian
0,0,African-American
1,1,African-American
0,1,African-American
1,0,African-American
0,0,African-American
0,0,Caucasian
0,1,Caucasian
0,1,African-American
1,0,Caucasian
1,0,Caucasian
0,1,African-American
0,0,African-American
0,1,African-American
0,1,Caucasian
1,1,African-American
0,0,Caucasian
1,0,African-American
0,1,Caucasian
1,1,African-American
0,1,Caucasian
1,0,Caucasian
1,1,African-American
0,0,African-American
1,0,African-American
0,1,African-American
0,0,African-American
0,0,African-American
0,0,Caucasian
1,0,African-American
1,1,Caucasian
0,1,African-American
1,1,Caucasian
1,1,Caucasian
0,1,Caucasian
1,1,African-American
1,0,Caucasian
0,0,Caucasian
1,0,Caucasian
0,0,Caucasian
1,1,African-American
0,0,African-American
1,1,African-American
1,0,Caucasian
1,1,Caucasian
1,1,African-American
1,1,African-American
1,0,Caucasian
0,1,Caucasian
1,1,African-American
0,1,African-American
1,0,African-American
0,0,Caucasian
1,0,African-American
0,1,Caucasian
0,1,African-American
1,0,African-American
0,0,Caucasian
0,1,Caucasian
0,1,African-American
1,1,African-American
0,0,African-American
0,0,Caucasian
0,0,African-American
1,0,African-American
0,1,African-American
0,0,Caucasian
1,1,African-American
0,0,African-American
0,0,Caucasian
0,0,African-American
1,1,Caucasian
1,1,African-American
1,1,African-American
0,1,African-American
0,0,Caucasian
1,0,African-American
1,0,African-American
1,0,Caucasian
0,0,Caucasian
0,0,Caucasian
1,1,African-American
1,1,African-American
0,0,Caucasian
1,1,African-American
0,1,Caucasian
0,0,African-American
1,0,Caucasian
1,1,African-American
1,0,African-American
1,0,African-American
0,0,African-American
0,0,Caucasian
1,1,Caucasian
1,0,African-American
1,1,African-American
0,1,African-American
1,1,African-American
0,0,African-American
1,1,Caucasian
0,0,African-American
0,1,African-American
1,1,African-American
0,1,Caucasian
0,0,Caucasian
0,1,Caucasian
1,0,African-American
0,0,Caucasian
0,0,Caucasian
0,0,African-American
0,0,African-American
0,1,African-American
1,1,African-American
0,0,Caucasian
1,1,African-American
1,0,African-American
1,1,African-American
0,1,Caucasian
1,1,African-American
0,1,Caucasian
1,1,African-American
1,0,Caucasian
1,0,African-American
0,0,Caucasian
0,0,Caucasian
0,0,Caucasian
1,0,African-American
0,0,Caucasian
0,0,Caucasian
0,1,African-American
1,1,African-American
0,0,Caucasian
1,0,African-American
1,0,Caucasian
1,1,African-American
1,0,Caucasian
1,1,African-American
1,1,African-American
1,0,African-American
1,0,African-American
0,0,African-American
1,1,African-American
1,1,African-American
1,1,African-American
0,0,Caucasian
0,1,Caucasian
0,0,Caucasian
1,1,Caucasian
1,1,African-American
1,0,African-American
0,1,Caucasian
1,1,Caucasian
1,0,African-American
1,1,African-American
0,0,Caucasian
1,0,African-American
0,0,African-American
0,1,African-American
1,1,Caucasian
1,1,African-American
1,1,African-American
1,1,African-American
1,1,African-American
0,1,Caucasian
1,1,African-American
0,1,Caucasian
0,0,Caucasian
1,1,African-American
0,1,African-American
1,0,African-American
0,0,African-American
0,0,Caucasian
0,0,Caucasian
0,0,Caucasian
1,1,African-American
0,0,Caucasian
1,1,African-American
1,0,African-American
1,1,African-American
0,1,African-American
1,1,African-American
1,0,African-American
1,1,African-American
0,1,Caucasian
0,1,Caucasian
1,1,African-American
1,0,Caucasian
1,1,African-American
0,0,African-American
1,1,African-American
1,1,African-American
0,0,African-American
1,1,Caucasian
1,1,Caucasian
1,1,African-American
0,0,Caucasian
1,0,African-American
0,1,Caucasian
1,1,African-American
1,0,Caucasian
1,0,African-American
0,1,Caucasian
0,0,Caucasian
0,0,African-American
1,1,African-American
0,0,African-American
0,0,African-American
1,0,African-American
1,0,African-American
1,1,Caucasian
1,0,Caucasian
0,0,African-American
1,1,Caucasian
0,1,African-American
1,0,African-American
0,0,African-American
1,0,African-American
0,0,Caucasian
1,0,African-American
0,0,African-American
1,1,African-American
1,1,African-American
0,1,African-American
1,0,African-American
1,1,African-American
1,1,African-American
0,1,Caucasian
1,1,African-American
0,0,Caucasian
0,0,Caucasian
1,1,Caucasian
1,1,African-American
0,0,Caucasian
0,0,African-American
1,0,African-American
1,1,African-American
1,0,Caucasian
1,1,Caucasian
0,1,African-American
1,1,African-American
1,0,Caucasian
1,1,African-American
1,0,African-American
1,1,African-American
1,0,Caucasian
1,0,Caucasian
1,1,African-American
0,0,Caucasian
0,0,African-American
0,1,Caucasian
0,0,African-American
0,0,African-American
1,1,African-American
1,1,African-American
1,0,Caucasian
1,1,African-American
1,1,African-American
0,0,African-American
1,0,African-American
0,1,African-American
0,1,African-American
0,1,Caucasian
1,0,African-American
0,1,African-American
0,1,Caucasian
0,0,Caucasian
1,1,African-American
0,0,Caucasian
1,1,African-American
1,0,Caucasian
1,0,Caucasian
0,0,Caucasian
0,0,African-American
0,1,African-American
0,0,Caucasian
1,0,Caucasian
0,0,Caucasian
1,1,Caucasian
1,0,Caucasian
1,0,African-American
0,0,Caucasian
0,0,African-American
0,0,African-American
1,1,Caucasian
1,1,African-American
1,1,African-American
0,0,African-American
0,1,African-American
1,1,African-American
0,1,African-American
1,1,African-American
0,0,African-American
1,1,African-American
0,0,Caucasian
0,1,African-American
1,1,Caucasian
0,0,African-American
1,1,Caucasian
0,1,Caucasian
0,0,African-American
0,0,African-American
1,1,African-American
1,1,Caucasian
0,0,African-American
0,0,Caucasian
0,0,African-American
0,0,African-American
1,1,Caucasian
1,0,African-American
0,1,African-American
0,0,African-American
0,0,African-American
0,1,African-American
0,1,Caucasian
1,1,African-American
1,1,African-American
0,0,African-American
0,0,Caucasian
0,0,African-American
1,1,Caucasian
0,0,Caucasian
0,0,Caucasian
0,0,African-American
1,1,African-American
0,0,African-American
1,1,African-American
1,1,Caucasian
0,0,Caucasian
1,1,African-American
0,1,Caucasian
1,1,African-American
1,0,African-American
1,1,African-American
0,1,Caucasian
0,0,Caucasian
1,1,African-American
0,0,African-American
0,0,African-American
1,1,African-American
0,1,African-American
1,1,African-American
1,1,African-American
1,0,African-American
0,0,Caucasian
1,1,Caucasian
0,0,African-American
1,0,African-American
0,1,African-American
1,1,African-American
0,1,African-American
1,1,African-American
1,1,African-American
0,0,African-American
0,0,Caucasian
1,1,African-American
0,1,Caucasian
0,1,African-American
0,1,African-American
0,0,Caucasian
0,0,African-American
0,0,Caucasian
0,0,Caucasian
1,0,African-American
1,1,African-American
0,1,Caucasian
1,0,Caucasian
1,1,Caucasian
0,0,African-American
0,1,Caucasian
1,1,African-American
1,1,African-American
1,1,Caucasian
0,0,African-American
1,1,Caucasian
0,0,Caucasian
1,0,African-American
1,1,African-American
1,1,Caucasian
0,0,African-American
0,1,African-American
1,1,African-American
1,1,African-American
1,0,African-American
1,1,African-American
1,1,African-American
1,1,African-American
1,0,African-American
0,0,Caucasian
1,1,African-American
1,1,African-American
1,1,African-American
0,0,Caucasian
1,1,Caucasian
0,1,African-American
1,1,Caucasian
0,0,Caucasian
1,1,African-American
1,0,African-American
1,1,Caucasian
1,0,Caucasian
1,1,African-American
0,1,African-American
1,0,Caucasian
1,1,Caucasian
1,1,African-American
1,1,African-American
1,1,African-American
0,0,African-American
0,1,African-American
0,0,Caucasian
0,1,African-American
0,0,African-American
0,0,Caucasian
0,0,Caucasian
1,0,Caucasian
0,1,African-American
1,1,Caucasian
0,0,African-American
0,0,African-American
0,0,African-American
1,1,African-American
0,1,African-American
0,1,Caucasian
0,0,African-American
0,1,Caucasian
0,1,Caucasian
1,0,African-American
0,1,African-American
1,0,African-American
0,0,Caucasian
1,1,African-American
1,1,Caucasian
0,0,African-American
0,0,Caucasian
0,0,African-American
1,0,African-American
1,1,African-American
1,1,African-American
0,0,African-American
0,0,African-American
0,1,Caucasian
1,0,African-American
0,0,Caucasian
0,0,African-American
1,0,African-American
1,1,African-American
0,0,African-American
1,0,African-American
1,1,Caucasian
1,0,Caucasian
1,1,Caucasian
0,0,African-American
0,0,African-American
1,1,Caucasian
1,1,African-American
0,0,Caucasian
0,0,Caucasian
0,0,Caucasian
1,0,African-American
0,0,Caucasian
1,1,African-American
0,0,Caucasian
0,1,Caucasian
0,0,African-American
0,0,African-American
1,1,African-American
1,1,African-American
1,1,Caucasian
0,0,Caucasian
1,0,African-American
0,1,African-American
1,1,Caucasian
1,0,African-American
1,1,Caucasian
1,0,Caucasian
0,0,African-American
0,0,African-American
0,1,African-American
1,1,Caucasian
0,1,African-American
1,1,African-American
0,1,African-American
1,0,African-American
0,0,Caucasian
1,1,Caucasian
1,0,African-American
1,0,African-American
1,1,African-American
0,0,Caucasian
0,1,African-American
1,1,African-American
1,1,Caucasian
0,0,Caucasian
0,0,Caucasian
1,1,African-American
0,0,African-American
1,1,African-American
0,1,African-American
0,1,Caucasian
1,1,Caucasian
1,1,African-American
1,1,African-American
0,0,Caucasian
1,1,African-American
0,0,African-American
0,0,Caucasian
0,0,African-American
1,1,Caucasian
1,1,African-American
0,0,African-American
0,0,Caucasian
0,0,Caucasian
0,0,Caucasian
1,1,African-American
0,0,African-American
0,0,African-American
0,0,Caucasian
0,0,Caucasian
1,0,Caucasian
1,1,African-American
0,0,Caucasian
0,1,African-American
0,1,Caucasian
1,0,Caucasian
1,1,African-American
0,0,Caucasian
1,1,African-American
1,1,African-American
0,1,Caucasian
0,1,Caucasian
0,1,African-American
1,0,African-American
0,0,Caucasian
0,1,Caucasian
1,1,African-American
1,0,African-American
0,0,Caucasian
0,1,African-American
1,0,African-American
1,1,African-American
0,1,African-American
0,0,Caucasian
1,0,Caucasian
1,1,African-American
0,0,African-American
1,1,African-American
0,0,Caucasian
1,1,Caucasian
1,0,African-American
1,0,African-American
1,0,African-American
0,0,Caucasian
1,1,African-American
0,0,African-American
1,0,African-American
1,1,African-American
1,1,Caucasian
0,1,Caucasian
0,0,African-American
1,1,African-American
0,0,Caucasian
1,1,African-American
1,1,African-American
1,0,African-American
1,1,African-American
0,0,Caucasian
0,0,Caucasian
0,0,Caucasian
1,0,African-American
0,0,Caucasian
0,0,Caucasian
1,0,African-American
1,1,African-American
0,0,African-American
0,1,African-American
0,0,African-American
0,0,Caucasian
0,1,African-American
1,1,Caucasian
0,0,African-American
0,1,Caucasian
1,0,African-American
0,1,Caucasian
0,1,Caucasian
0,1,African-American
1,1,African-American
1,0,Caucasian
0,0,Caucasian
0,0,African-American
1,1,African-American
1,0,African-American
1,1,Caucasian
0,1,Caucasian
1,1,African-American
1,0,African-American
0,1,Caucasian
0,1,Caucasian
0,0,Caucasian
0,0,Caucasian
1,1,African-American
0,0,African-American
0,0,Caucasian
0,1,African-American
1,1,Caucasian
1,0,Caucasian
0,0,Caucasian
1,1,Caucasian
0,0,Caucasian
0,0,African-American
1,1,African-American
1,1,African-American
1,0,African-American
0,0,African-American
0,0,Caucasian
0,0,African-American
1,1,Caucasian
1,1,Caucasian
0,0,African-American
0,1,African-American
1,0,African-American
1,1,African-American
0,0,African-American
1,1,Caucasian
0,1,African-American
0,0,African-American
0,0,Caucasian
1,1,African-American
1,1,African-American
1,0,African-American
0,0,Caucasian
1,1,Caucasian
1,1,African-American
1,1,African-American
1,1,Caucasian
1,0,African-American
1,1,African-American
1,1,African-American
0,0,Caucasian
0,0,Caucasian
0,0,African-American
1,0,Caucasian
1,1,African-American
1,0,African-American
1,1,African-American
1,0,African-American
1,0,Caucasian
1,0,African-American
1,0,African-American
1,1,African-American
0,0,African-American
1,1,African-American
1,1,African-American
1,1,Caucasian
1,1,Caucasian
0,0,Caucasian
1,0,Caucasian
0,0,African-American
1,1,African-American
0,1,African-American
1,1,Caucasian
0,0,African-American
0,1,Caucasian
0,1,African-American
1,0,African-American
1,1,Caucasian
1,1,African-American
1,0,African-American
1,1,Caucasian
0,0,African-American
1,1,African-American
0,0,Caucasian
0,0,Caucasian
1,1,African-American
1,1,Caucasian
0,0,African-American
1,0,African-American
0,0,Caucasian
0,1,African-American
1,1,African-American
1,1,African-American
1,1,Caucasian
0,1,African-American
0,0,African-American
1,1,Caucasian
0,1,Caucasian
0,0,Caucasian
1,0,African-American
0,0,African-American
1,0,Caucasian
0,0,African-American
1,0,African-American
1,1,Caucasian
0,0,African-American
1,1,Caucasian
1,1,African-American
0,0,Caucasian
1,1,Caucasian
1,1,African-American
1,1,African-American
0,0,African-American
0,0,African-American
1,1,Caucasian
0,0,Caucasian
0,1,Caucasian
0,0,Caucasian
0,0,African-American
0,0,African-American
0,0,Caucasian
1,0,Caucasian
1,0,African-American
0,0,African-American
1,1,African-American
0,0,African-American
0,1,African-American
0,1,African-American
1,1,African-American
1,1,Caucasian
0,0,Caucasian
0,0,African-American
1,0,Caucasian
0,1,African-American
1,0,African-American
0,1,Caucasian
1,1,African-American
1,0,Caucasian
1,0,African-American
1,1,African-American
0,0,Caucasian
0,1,Caucasian
1,1,African-American
1,1,African-American
0,0,African-American
1,1,Caucasian
1,1,African-American
0,0,African-American
0,0,Caucasian
0,0,African-American
0,1,African-American
1,1,African-American
1,1,African-American
1,0,African-American
1,0,African-American
0,1,Caucasian
0,0,African-American
0,0,African-American
1,0,African-American
1,1,Caucasian
0,1,African-American
1,0,African-American
1,1,African-American
0,1,Caucasian
1,0,Caucasian
0,0,Caucasian
1,1,African-American
0,1,African-American
0,1,African-American
0,0,Caucasian
1,1,African-American
1,1,African-American
1,1,Caucasian
1,0,African-American
0,0,Caucasian
0,0,African-American
0,1,African-American
0,0,Caucasian
1,1,Caucasian
0,0,African-American
1,1,African-American
0,0,African-American
0,0,Caucasian
0,1,African-American
1,1,African-American
1,0,African-American
0,0,African-American
1,1,African-American
1,0,African-American
1,0,African-American
0,0,Caucasian
0,1,African-American
1,1,African-American
0,0,Caucasian
0,0,Caucasian
1,0,African-American
0,0,Caucasian
0,0,African-American
1,1,African-American
0,0,African-American
1,1,Caucasian
0,0,African-American
1,1,African-American
0,1,Caucasian
0,0,African-American
0,0,African-American
1,1,African-American
1,1,African-American
1,0,African-American
0,0,Caucasian
1,0,Caucasian
0,0,African-American
1,0,Caucasian
0,0,African-American
1,1,African-American
0,0,African-American
0,1,Caucasian
1,1,Caucasian
0,0,African-American
0,0,Caucasian
1,1,African-American
1,1,African-American
0,0,Caucasian
1,0,Caucasian
1,0,African-American
0,0,Caucasian
0,0,African-American
0,0,Caucasian
0,0,African-American
0,0,African-American
1,1,African-American
0,0,Caucasian
0,0,African-American
1,0,African-American
1,0,Caucasian
1,0,Caucasian
0,0,Caucasian
0,0,Caucasian
1,1,African-American
0,1,African-American
1,1,Caucasian
0,0,Caucasian
1,1,African-American
0,1,Caucasian
0,0,African-American
1,1,African-American
0,0,African-American
0,0,African-American
0,1,Caucasian
1,1,African-American
1,0,Caucasian
0,0,Caucasian
0,1,Caucasian
1,0,African-American
0,0,African-American
1,0,African-American
1,1,Caucasian
0,1,Caucasian
1,1,African-American
0,0,Caucasian
0,0,Caucasian
1,1,Caucasian
0,1,Caucasian
0,0,Caucasian
1,0,Caucasian
1,1,African-American
0,0,Caucasian
0,1,Caucasian
0,0,African-American
1,1,African-American
0,1,Caucasian
0,0,Caucasian
1,0,African-American
0,1,African-American
0,0,African-American
1,1,African-American
0,0,Caucasian
1,0,African-American
1,1,Caucasian
0,0,Caucasian
0,0,Caucasian
0,1,Caucasian
0,0,African-American
1,1,Caucasian
0,0,Caucasian
1,0,Caucasian
0,1,Caucasian
0,0,Caucasian
1,0,African-American
1,1,African-American
0,1,Caucasian
1,0,African-American
0,0,African-American
0,1,African-American
0,0,African-American
0,0,Caucasian
0,0,African-American
1,1,African-American
1,1,African-American
0,0,Caucasian
1,1,African-American
1,1,African-American
0,0,African-American
0,0,Caucasian
0,1,African-American
0,0,Caucasian
1,1,African-American
1,1,African-American
0,0,African-American
0,1,Caucasian
1,0,Caucasian
1,0,African-American
0,1,African-American
1,0,African-American
0,0,Caucasian
1,0,Caucasian
0,0,African-American
0,1,African-American
1,1,African-American
0,0,African-American
0,0,Caucasian
0,0,African-American
1,1,African-American
1,1,African-American
0,0,Caucasian
1,1,African-American
0,0,Caucasian
0,0,African-American
1,0,African-American
0,0,African-American
1,1,African-American
0,0,Caucasian
1,1,Caucasian
0,0,African-American
0,0,Caucasian
0,1,African-American
0,1,African-American
0,1,Caucasian
0,1,African-American
0,1,Caucasian
0,0,Caucasian
0,1,African-American
1,0,African-American
1,1,African-American
1,1,Caucasian
0,0,African-American
1,0,African-American
0,0,African-American
1,1,Caucasian
0,1,Caucasian
0,0,African-American
1,0,African-American
1,0,African-American
0,0,Caucasian
0,1,African-American
0,0,Caucasian
0,1,African-American
1,1,African-American
0,1,Caucasian
0,0,African-American
1,1,African-American
1,0,African-American
0,0,Caucasian
0,0,Caucasian
0,0,African-American
1,1,African-American
1,1,Caucasian
1,0,Caucasian
1,0,African-American
0,0,African-American
0,1,Caucasian
1,1,African-American
0,0,African-American
1,0,Caucasian
0,0,African-American
0,0,Caucasian
0,0,Caucasian
1,0,African-American
1,1,Caucasian
0,1,African-American
0,0,Caucasian
0,0,African-American
1,1,African-American
1,0,African-American
0,1,African-American
0,0,African-American
0,0,African-American
0,0,African-American
0,0,Caucasian
1,0,Caucasian
1,1,Caucasian
1,1,African-American
1,0,Caucasian
1,0,Caucasian
0,0,African-American
1,1,African-American
1,1,African-American
0,1,Caucasian
1,0,Caucasian
1,1,African-American
1,0,Caucasian
1,1,African-American
1,0,Caucasian
1,1,African-American
1,0,African-American
0,1,African-American
1,0,Caucasian
0,1,Caucasian
1,0,Caucasian
1,1,African-American
0,1,Caucasian
0,0,Caucasian
0,1,Caucasian
1,0,African-American
1,1,African-American
1,0,African-American
1,1,African-American
0,1,African-American
0,1,Caucasian
1,1,African-American
1,1,Caucasian
1,1,Caucasian
1,1,African-American
1,0,African-American
0,1,Caucasian
0,0,African-American
1,0,African-American
1,0,Caucasian
0,0,African-American
0,0,Caucasian
0,1,African-American
0,1,African-American
1,0,African-American
0,0,Caucasian
1,1,Caucasian
1,1,Caucasian
1,1,Caucasian
1,1,African-American
0,1,Caucasian
1,0,African-American
1,1,African-American
1,0,African-American
0,0,African-American
0,0,African-American
0,0,Caucasian
1,0,African-American
1,0,Caucasian
1,1,Caucasian
0,1,Caucasian
0,1,African-American
1,0,African-American
1,1,African-American
0,0,Caucasian
0,1,African-American
1,0,African-American
0,0,Caucasian
1,1,African-American
0,0,African-American
0,1,Caucasian
0,1,African-American
0,0,African-American
1,1,African-American
0,1,African-American
0,0,Caucasian
0,0,African-American
0,0,Caucasian
0,0,Caucasian
1,0,African-American
0,0,Caucasian
1,1,Caucasian
0,0,Caucasian
1,1,African-American
0,1,Caucasian
0,0,Caucasian
1,0,African-American
1,0,Caucasian
0,0,Caucasian
0,1,Caucasian
0,0,Caucasian
0,0,African-American
0,1,African-American
1,1,African-American
0,0,Caucasian
0,0,Caucasian
0,0,Caucasian
0,1,African-American
0,0,African-American
0,0,Caucasian
1,1,African-American
1,0,African-American
1,0,Caucasian
0,0,African-American
1,1,Caucasian
1,1,Caucasian
0,0,African-American
0,0,Caucasian
1,1,Caucasian
0,0,Caucasian
1,1,African-American
1,0,African-American
1,0,African-American
0,0,Caucasian
0,1,Caucasian
0,0,African-American
1,0,African-American
0,1,Caucasian
0,0,African-American
0,0,Caucasian
0,0,African-American
1,0,Caucasian
0,0,Caucasian
1,0,African-American
0,1,Caucasian
0,0,Caucasian
0,0,African-American
1,1,African-American
1,0,African-American
1,1,African-American
1,1,African-American
1,0,African-American
1,0,African-American
1,1,African-American
1,1,African-American
0,1,Caucasian
1,1,African-American
0,0,African-American
1,1,African-American
1,1,Caucasian
1,1,Caucasian
1,1,Caucasian
1,1,African-American
1,0,African-American
0,1,African-American
0,0,African-American
1,0,Caucasian
0,1,African-American
0,1,Caucasian
1,0,African-American
0,1,African-American
1,0,African-American
1,0,Caucasian
1,0,Caucasian
1,0,African-American
1,0,Caucasian
0,1,Caucasian
0,0,Caucasian
0,0,African-American
1,1,African-American
1,0,African-American
0,0,African-American
0,1,African-American
1,0,African-American
1,1,African-American
1,1,Caucasian
0,0,Caucasian
0,0,Caucasian
0,1,African-American
0,0,Caucasian
0,0,Caucasian
1,0,Caucasian
1,1,Caucasian
1,0,Caucasian
0,1,African-American
0,0,Caucasian
1,1,African-American
1,1,African-American
1,1,African-American
1,0,African-American
0,0,African-American
1,1,African-American
0,1,Caucasian
0,0,Caucasian
1,0,African-American
0,1,African-American
0,0,African-American
0,0,Caucasian
0,0,Caucasian
0,0,African-American
1,0,Caucasian
1,1,African-American
1,1,African-American
1,0,African-American
1,1,African-American
1,1,African-American
1,1,African-American
1,0,Caucasian
1,0,Caucasian
1,0,African-American
1,1,African-American
1,1,African-American
0,1,African-American
1,1,Caucasian
0,0,Caucasian
0,0,African-American
1,1,African-American
1,0,African-American
0,0,African-American
0,0,African-American
1,1,African-American
0,0,Caucasian
1,1,African-American
0,1,Caucasian
1,0,Caucasian
1,0,African-American
1,0,African-American
1,0,Caucasian
1,0,African-American
1,1,African-American
1,1,African-American
1,1,African-American
0,0,African-American
0,0,African-American
0,0,African-American
0,0,Caucasian
0,0,Caucasian
1,1,Caucasian
1,1,African-American
1,0,Caucasian
0,0,African-American
1,1,African-American
1,1,African-American
1,1,African-American
1,1,African-American
0,1,African-American
1,1,African-American
1,1,African-American
0,0,African-American
0,0,Caucasian
0,0,Caucasian
1,1,African-American
0,0,Caucasian
0,0,Caucasian
0,0,African-American
1,1,Caucasian
1,1,Caucasian
1,0,Caucasian
1,1,Caucasian
0,0,African-American
1,1,African-American
0,0,Caucasian
0,1,African-American
1,0,African-American
1,0,African-American
0,0,African-American
1,1,African-American
1,1,African-American
0,0,Caucasian
1,0,African-American
1,1,African-American
0,0,Caucasian
0,0,Caucasian
0,0,Caucasian
0,1,Caucasian
0,1,African-American
1,1,African-American
1,1,Caucasian
1,0,Caucasian
0,1,Caucasian
0,1,Caucasian
0,1,African-American
1,0,Caucasian
1,1,Caucasian
0,0,Caucasian
0,0,African-American
1,1,African-American
1,1,African-American
1,0,African-American
0,0,Caucasian
0,0,Caucasian
0,0,Caucasian
0,0,Caucasian
1,1,African-American
1,1,African-American
0,0,Caucasian
0,0,Caucasian
1,0,African-American
1,1,African-American
0,0,Caucasian
1,0,Caucasian
0,1,African-American
0,1,Caucasian
0,1,African-American
1,0,African-American
0,0,African-American
0,0,Caucasian
0,0,African-American
0,1,Caucasian
1,0,African-American
0,1,Caucasian
0,0,African-American
0,0,African-American
0,0,Caucasian
1,0,African-American
1,1,Caucasian
1,0,African-American
0,0,African-American
1,1,African-American
1,1,African-American
0,0,African-American
1,0,African-American
0,0,African-American
1,0,African-American
0,0,Caucasian
1,1,African-American
0,1,African-American
0,0,African-American
1,0,Caucasian
0,1,African-American
1,0,African-American
1,1,African-American
0,1,African-American
0,0,Caucasian
1,1,African-American
0,0,Caucasian
1,1,Caucasian
0,0,African-American
0,0,African-American
1,1,African-American
0,0,Caucasian
0,0,African-American
1,1,African-American
0,1,African-American
0,0,Caucasian
1,0,African-American
1,1,African-American
1,1,African-American
1,0,African-American
1,1,African-American
0,1,African-American
1,1,African-American
0,0,African-American
0,1,African-American
0,1,African-American
1,1,African-American
0,1,African-American
0,1,Caucasian
1,0,Caucasian
0,0,Caucasian
0,0,African-American
1,1,African-American
0,1,Caucasian
0,1,African-American
1,0,African-American
1,1,Caucasian
1,0,African-American
0,0,African-American
0,0,Caucasian
1,1,African-American
1,1,African-American
0,0,African-American
0,1,African-American
1,0,Caucasian
1,1,Caucasian
0,0,Caucasian
0,0,African-American
1,1,African-American
1,0,African-American
1,1,African-American
0,1,African-American
1,1,African-American
0,0,African-American
0,1,Caucasian
1,0,African-American
0,0,Caucasian
0,0,Caucasian
0,1,Caucasian
0,0,Caucasian
1,0,African-American
0,0,African-American
0,0,African-American
0,0,Caucasian
1,1,African-American
0,0,African-American
0,1,Caucasian
1,1,African-American
0,1,African-American
1,1,African-American
0,1,African-American
0,0,Caucasian
1,0,African-American
1,1,African-American
0,0,Caucasian
0,1,African-American
0,1,African-American
0,0,African-American
1,0,African-American
1,0,African-American
1,1,African-American
0,1,African-American
1,1,Caucasian
0,0,Caucasian
0,1,African-American
1,0,African-American
0,0,African-American
1,0,African-American
0,0,African-American
0,0,African-American
1,1,African-American
1,1,Caucasian
0,1,African-American
1,1,African-American
1,1,Caucasian
1,1,African-American
1,1,African-American
1,1,African-American
0,1,Caucasian
0,0,African-American
1,0,Caucasian
0,0,African-American
0,1,Caucasian
1,0,African-American
0,0,African-American
1,1,African-American
0,1,Caucasian
0,0,African-American
1,1,African-American
